timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm]
1054048548,383162669,415204331.0,2.36,1.857,26.799999999999955,108.0
1054048549,383162885,415204129.0,4.92,2.202,26.799999999999955,108.0
1054048555,383164149,415202638.0,21.5,2.118,26.600000000000023,110.0
1054048561,383165243,415200807.0,39.22,2.697,23.799999999999955,110.0
1054048566,383165594,415198952.0,54.67,2.902,21.0,110.0
1054048571,383165233,415197317.0,68.01,2.743,19.600000000000023,113.0
1054048572,383165222,415197011.0,70.42,2.734,19.600000000000023,113.0
1054048574,383165365,415196488.0,74.76,2.519,19.399999999999977,114.0
1054048576,383165706,415196413.0,78.03,1.633,19.200000000000045,114.0
1054048579,383166249,415196099.0,83.73,1.95,19.200000000000045,113.0
1054048581,383166414,415195653.0,87.64,1.931,18.600000000000023,113.0
1054048584,383166025,415195306.0,92.53,1.717,17.600000000000023,113.0
1054048587,383165438,415195021.0,98.45,1.885,17.200000000000045,113.0
1054048589,383164797,415194982.0,104.38,3.116,17.0,112.0
1054048596,383162109,415194894.0,129.37,3.191,17.399999999999977,112.0
1054048601,383160385,415194709.0,145.48,3.2,18.0,114.0
1054048603,383159539,415194655.0,153.29,3.191,18.399999999999977,118.0
1054048604,383159181,415194668.0,156.61,3.191,18.600000000000023,121.0
1054048607,383157951,415194721.0,168.05,3.275,19.200000000000045,124.0
1054048608,383157595,415194712.0,171.36,3.387,19.399999999999977,124.0
1054048614,383155033,415194733.0,195.15,3.574,22.399999999999977,124.0
1054048621,383152301,415194621.0,220.62,3.704,24.0,126.0
1054048629,383149190,415194643.0,249.53,3.555,24.0,125.0
1054048635,383146938,415194749.0,270.49,3.471,23.600000000000023,128.0
1054048638,383145679,415194787.0,282.2,3.471,23.0,129.0
1054048644,383142949,415194965.0,307.61,3.872,20.600000000000023,127.0
1054048647,383141664,415195076.0,319.58,3.938,19.600000000000023,124.0
1054048651,383139921,415195141.0,335.78,3.872,18.600000000000023,123.0
1054048657,383137068,415195233.0,362.28,4.068,17.0,123.0
1054048663,383134526,415195245.0,385.9,3.928,16.600000000000023,122.0
1054048669,383132125,415195567.0,408.22,3.508,16.0,121.0
1054048674,383130157,415195656.0,426.71,3.368,15.600000000000025,118.0
1054048675,383129802,415195452.0,430.3,3.368,15.600000000000025,118.0
1054048677,383129278,415194656.0,438.26,3.443,16.200000000000045,117.0
1054048679,383129242,415193625.0,446.42,4.003,17.200000000000045,117.0
1054048685,383128816,415190203.0,473.87,4.292,19.799999999999955,115.0
1054048687,383128634,415188917.0,484.18,5.085,19.799999999999955,114.0
1054048690,383128657,415186926.0,499.92,5.16,18.799999999999955,113.0
1054048696,383128357,415182731.0,533.25,5.402,17.0,113.0
1054048698,383128404,415181180.0,545.48,5.486,16.799999999999955,113.0
1054048700,383128189,415179589.0,558.22,5.822,16.799999999999955,114.0
1054048701,383128012,415178791.0,564.71,6.056,16.799999999999955,114.0
1054048706,383127561,415174707.0,597.27,6.168,16.799999999999955,116.0
