timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],cycle_length16 [m],heart_rate [bpm],cadence [rpm],fractional_cadence [rpm]
1049872046,382497759,414849321.0,2.66,2.967,50.200000000000045,0.0,99.0,81.0,0.5
1049872048,382498203,414848866.0,8.14,2.258,49.60000000000002,0.0,102.0,81.0,0.5
1049872050,382498585,414848473.0,12.86,2.053,49.0,0.0,103.0,80.0,0.5
1049872052,382498741,414848098.0,16.26,2.333,48.79999999999996,0.0,104.0,81.0,0.5
1049872055,382498816,414847207.0,23.29,2.482,49.60000000000002,0.0,104.0,83.0,0.5
1049872057,382498924,414846413.0,29.67,2.491,50.0,0.0,108.0,82.0,0.0
1049872059,382499020,414845585.0,36.29,2.519,49.79999999999996,0.0,112.0,83.0,0.5
1049872060,382499001,414845162.0,39.63,2.594,49.39999999999998,0.0,113.0,83.0,0.5
1049872063,382498744,414843715.0,51.05,2.659,47.60000000000002,0.0,116.0,81.0,0.5
1049872066,382498625,414842387.0,61.58,2.706,46.60000000000002,0.0,119.0,81.0,0.5
1049872068,382498606,414841838.0,65.92,2.706,46.39999999999998,0.0,120.0,81.0,0.5
1049872074,382498618,414840195.0,79.35,2.501,46.200000000000045,0.0,123.0,79.0,0.5
1049872075,382498533,414839886.0,81.78,2.501,46.200000000000045,0.0,123.0,79.0,0.5
1049872081,382498044,414837627.0,99.66,2.463,43.200000000000045,0.0,123.0,81.0,0.5
1049872089,382498528,414835075.0,118.76,2.435,42.39999999999998,0.0,126.0,80.0,0.5
1049872094,382498800,414834249.0,125.32,1.418,41.0,0.0,128.0,78.0,0.5
1049872095,382498728,414834075.0,126.79,1.418,40.60000000000002,0.0,128.0,78.0,0.5
1049872096,382498619,414833795.0,128.65,1.437,40.39999999999998,0.0,127.0,78.0,0.5
1049872099,382498172,414833023.0,134.52,1.717,39.79999999999996,0.0,124.0,81.0,0.0
1049872100,382498075,414832787.0,136.57,1.829,39.60000000000002,0.0,124.0,81.0,0.0
1049872107,382498047,414830347.0,155.72,2.062,35.39999999999998,0.0,127.0,83.0,0.5
1049872108,382497945,414830073.0,158.07,2.099,34.39999999999998,0.0,127.0,83.0,0.5
1049872110,382497361,414829500.0,165.15,2.109,32.39999999999998,0.0,130.0,81.0,0.5
1049872111,382497042,414829165.0,169.13,2.118,31.399999999999977,0.0,130.0,81.0,0.5
1049872114,382496268,414828398.0,178.61,2.202,27.600000000000023,0.0,133.0,82.0,0.5
1049872115,382496290,414828261.0,179.71,2.211,26.600000000000023,0.0,134.0,82.0,0.5
1049872116,382496346,414828079.0,181.24,2.211,25.799999999999955,0.0,135.0,82.0,0.5
1049872119,382496815,414827776.0,186.49,1.801,23.0,0.0,136.0,82.0,0.5
1049872122,382497130,414827773.0,189.42,1.819,21.799999999999955,0.0,135.0,83.0,0.5
1049872127,382498034,414827456.0,198.61,1.773,23.399999999999977,0.0,139.0,81.0,0.5
1049872130,382498555,414826825.0,205.47,1.81,25.200000000000045,0.0,140.0,84.0,0.5
1049872135,382499701,414826161.0,217.87,1.931,28.799999999999955,0.0,139.0,82.0,0.5
1049872138,382500634,414825936.0,226.53,1.95,30.399999999999977,0.0,139.0,83.0,0.0
1049872141,382501393,414825289.0,235.35,1.978,31.200000000000045,0.0,139.0,83.0,0.5
